algos	cor	nalgo
AliGebily:Ardavel:balajipro:LastEmperor:vladaburian	0.582843919526637	5
AliGebily:Ardavel:balajipro:mkagenius:mvaudel	0.57422589005175	5
AliGebily:Ardavel:balajipro:mkagenius:Ramzes2	0.583552119657344	5
AliGebily:Ardavel:balajipro:mkagenius:vladaburian	0.576076979360993	5
AliGebily:Ardavel:balajipro:mvaudel:Ramzes2	0.581130093915465	5
AliGebily:Ardavel:balajipro:mvaudel:vladaburian	0.57984946962896	5
AliGebily:Ardavel:balajipro:Ramzes2:vladaburian	0.583406639112963	5
AliGebily:Ardavel:benchmark:gardn999:LastEmperor	0.583279449322749	5
AliGebily:Ardavel:benchmark:gardn999:mkagenius	0.586309711100846	5
AliGebily:Ardavel:benchmark:gardn999:mvaudel	0.582044901670632	5
AliGebily:Ardavel:benchmark:gardn999:Ramzes2	0.591251446566631	5
AliGebily:Ardavel:benchmark:gardn999:vladaburian	0.584129782143987	5
AliGebily:Ardavel:benchmark:LastEmperor:mkagenius	0.571450973745574	5
AliGebily:Ardavel:benchmark:LastEmperor:mvaudel	0.579679455643785	5
AliGebily:Ardavel:benchmark:LastEmperor:Ramzes2	0.580837597232913	5
AliGebily:Ardavel:benchmark:LastEmperor:vladaburian	0.584097617304617	5
AliGebily:Ardavel:benchmark:mkagenius:mvaudel	0.571686979408796	5
AliGebily:Ardavel:benchmark:mkagenius:Ramzes2	0.580354392347655	5
AliGebily:Ardavel:benchmark:mkagenius:vladaburian	0.57351879165972	5
AliGebily:Ardavel:benchmark:mvaudel:Ramzes2	0.577405329873524	5
AliGebily:Ardavel:benchmark:mvaudel:vladaburian	0.581185709063738	5
AliGebily:Ardavel:benchmark:Ramzes2:vladaburian	0.579198339115024	5
AliGebily:Ardavel:gardn999:LastEmperor:mkagenius	0.589599757053148	5
AliGebily:Ardavel:gardn999:LastEmperor:mvaudel	0.580098188812561	5
AliGebily:Ardavel:gardn999:LastEmperor:Ramzes2	0.595138403977251	5
AliGebily:Ardavel:gardn999:LastEmperor:vladaburian	0.584202687032455	5
AliGebily:Ardavel:gardn999:mkagenius:mvaudel	0.589814854549526	5
AliGebily:Ardavel:gardn999:mkagenius:Ramzes2	0.590092206984414	5
AliGebily:Ardavel:gardn999:mkagenius:vladaburian	0.587486320897533	5
AliGebily:Ardavel:gardn999:mvaudel:Ramzes2	0.594186870376751	5
AliGebily:Ardavel:gardn999:mvaudel:vladaburian	0.582664674195542	5
AliGebily:Ardavel:gardn999:Ramzes2:vladaburian	0.595671167543549	5
AliGebily:Ardavel:LastEmperor:mkagenius:mvaudel	0.575504505491191	5
AliGebily:Ardavel:LastEmperor:mkagenius:Ramzes2	0.583798149735851	5
AliGebily:Ardavel:LastEmperor:mkagenius:vladaburian	0.576237989058593	5
AliGebily:Ardavel:LastEmperor:mvaudel:Ramzes2	0.579632970660084	5
AliGebily:Ardavel:LastEmperor:mvaudel:vladaburian	0.579446894569945	5
AliGebily:Ardavel:LastEmperor:Ramzes2:vladaburian	0.583338371952629	5
AliGebily:Ardavel:mkagenius:mvaudel:Ramzes2	0.582712346202087	5
AliGebily:Ardavel:mkagenius:mvaudel:vladaburian	0.575353352338837	5
AliGebily:Ardavel:mkagenius:Ramzes2:vladaburian	0.581570156890794	5
AliGebily:Ardavel:mvaudel:Ramzes2:vladaburian	0.580625923859302	5
AliGebily:balajipro:benchmark:gardn999:LastEmperor	0.57835506886826	5
AliGebily:balajipro:benchmark:gardn999:mkagenius	0.583906526041849	5
AliGebily:balajipro:benchmark:gardn999:mvaudel	0.579095314501552	5
AliGebily:balajipro:benchmark:gardn999:Ramzes2	0.591415997184261	5
AliGebily:balajipro:benchmark:gardn999:vladaburian	0.58004423262866	5
AliGebily:balajipro:benchmark:LastEmperor:mkagenius	0.566436544591863	5
AliGebily:balajipro:benchmark:LastEmperor:mvaudel	0.57938773702427	5
AliGebily:balajipro:benchmark:LastEmperor:Ramzes2	0.57800579029914	5
AliGebily:balajipro:benchmark:LastEmperor:vladaburian	0.580096870574364	5
